nox_value,facility_id,wind_speed,wind_direction,day,month,year,average_temp_K_,average_solarrad_Wm2_,average_RH_perc_,average_cloud_fraction_,average_no2_kgm2_,average_no2flux_kgm2s_
4625.705214,5,21970.65798,190.9038474,6,5,2022,11148,12455,75.83018,0.1836779496,2.10E-06,1.94E-10
18793.29529,6,26072.27083,188.805141,6,5,2022,13078,23373,77.99874,0.1197201265,2.39E-06,1.06E-09
1550.269102,1,15394.40087,236.498836,10,5,2022,30145,26874,65.589676,0.1313245607,4.03E-06,-3.86E-10
5452.754134,2,14124.21541,235.0362276,10,5,2022,29116,26788,65.737144,0.150293334,3.29E-06,7.45E-10
6208.119638,5,23859.36148,229.1911119,10,5,2022,17710,24325,71.05261,0.2153438059,1.47E-06,3.23E-10
20668.53243,6,23315.02627,216.9559088,10,5,2022,18654,24940,72.66184,0.09649642524,6.50E-06,1.25E-09
5492.152824,2,32970.83137,240.6508607,29,4,2022,28048,20778,63.563896,0.1626380778,3.23E-06,2.30E-09
5599.662224,5,12440.95053,182.7136057,29,4,2022,17747,27091,66.74585,0.2197497529,3.17E-06,-6.89E-10
19440.83057,6,19728.44588,207.5963599,29,4,2022,14148,26220,77.84891,0.1790418136,2.59E-06,1.72E-09
10298.9642,7,31259.94896,257.5767572,29,4,2022,26354,22808,66.80239,0.2135584349,2.82E-06,4.20E-10
